bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1978792,3134954,text,15046,text/html,Introduced,https://legiscan.com/CA/text/SB559/id/3134954,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB559#99INT
1978792,3199752,text,22914,text/html,Amended,https://legiscan.com/CA/text/SB559/id/3199752,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB559#98AMD
1978793,3134955,text,55930,text/html,Introduced,https://legiscan.com/CA/text/SB560/id/3134955,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB560#99INT
1978793,3193743,text,52655,text/html,Amended,https://legiscan.com/CA/text/SB560/id/3193743,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB560#98AMD
1978794,3134956,text,46579,text/html,Introduced,https://legiscan.com/CA/text/SB561/id/3134956,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB561#99INT
1978794,3204514,text,49842,text/html,Amended,https://legiscan.com/CA/text/SB561/id/3204514,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB561#98AMD
1978795,3134957,text,5035,text/html,Introduced,https://legiscan.com/CA/text/SB562/id/3134957,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB562#99INT
1978795,3191163,text,5653,text/html,Amended,https://legiscan.com/CA/text/SB562/id/3191163,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB562#98AMD
1978795,3209377,text,8913,text/html,Amended,https://legiscan.com/CA/text/SB562/id/3209377,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB562#97AMD
1978796,3134958,text,6126,text/html,Introduced,https://legiscan.com/CA/text/SB563/id/3134958,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB563#99INT
1978796,3191172,text,25759,text/html,Amended,https://legiscan.com/CA/text/SB563/id/3191172,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB563#98AMD
1978797,3134959,text,9674,text/html,Introduced,https://legiscan.com/CA/text/SB564/id/3134959,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB564#99INT
1978798,3134960,text,5048,text/html,Introduced,https://legiscan.com/CA/text/SB565/id/3134960,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB565#99INT
1978798,3186998,text,15329,text/html,Amended,https://legiscan.com/CA/text/SB565/id/3186998,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB565#98AMD
1978798,3201513,text,9674,text/html,Amended,https://legiscan.com/CA/text/SB565/id/3201513,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB565#97AMD
1978799,3134961,text,21160,text/html,Introduced,https://legiscan.com/CA/text/SB566/id/3134961,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB566#99INT
1978800,3134962,text,18946,text/html,Introduced,https://legiscan.com/CA/text/SB567/id/3134962,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB567#99INT
1978800,3191142,text,21654,text/html,Amended,https://legiscan.com/CA/text/SB567/id/3191142,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB567#98AMD
1978801,3134963,text,14591,text/html,Introduced,https://legiscan.com/CA/text/SB568/id/3134963,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB568#99INT
1978801,3187004,text,25099,text/html,Amended,https://legiscan.com/CA/text/SB568/id/3187004,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB568#98AMD
