bill_id,people_id,position
1636457,23137,3
1636458,1507,1
1636458,14109,5
1636458,18065,3
1636458,19659,6
1636458,19726,2
1636458,21725,4
1636459,17701,1
1636460,17701,1
1636460,21728,3
1636460,22932,2
1636461,1561,10
1636461,16285,1
1636461,16288,5
1636461,16294,8
1636461,18072,7
1636461,21374,6
1636461,21717,2
1636461,22918,11
1636461,23128,12
1636461,23205,4
1636461,23214,9
1636461,23227,3
1636462,19725,2
1636462,19728,1
1636463,1551,6
1636463,11611,2
1636463,14099,3
1636463,14125,9
1636463,16221,1
1636463,16285,4
1636463,16309,5
1636463,21720,8
1636463,21728,7
1636464,1551,5
1636464,11611,3
1636464,14099,2
1636464,14125,8
1636464,16221,1
1636464,16309,4
1636464,21720,7
1636464,21728,6
1636465,17701,1
1636466,14118,4
1636466,14122,5
1636466,18082,3
1636466,19728,1
1636466,21727,2
1636467,19728,1
1636468,1561,1
1636469,1507,1
1636469,14118,3
1636469,18064,5
1636469,18072,4
1636469,19723,7
1636469,23204,2
1636469,23230,6
1636470,21726,1
1636470,23202,2
1636471,14099,2
1636471,21726,1
1636472,1561,15
1636472,14101,8
1636472,14118,14
1636472,18065,12
1636472,18068,1
1636472,18073,2
1636472,18077,9
1636472,19487,17
1636472,19658,10
1636472,19723,4
1636472,21374,11
1636472,21723,16
1636472,21724,6
1636472,21725,7
1636472,23152,5
1636472,23155,3
1636472,23228,13
1636473,19728,1
1636474,21725,1
1636475,19728,1
1636476,1551,3
1636476,14101,1
1636476,14107,2
1636476,14118,18
1636476,14134,19
1636476,16285,9
1636476,16287,11
1636476,16296,13
1636476,16299,4
1636476,16303,24
1636476,16304,6
1636476,18066,7
1636476,18068,5
1636476,18070,22
1636476,18077,10
1636476,19723,23
1636476,19733,20
1636476,23137,12
1636476,23155,14
1636476,23206,8
1636476,23215,16
1636476,23216,17
1636476,23218,21
1636476,23228,15
1636477,1507,3
1636477,1551,31
1636477,1556,4
1636477,11611,22
1636477,14118,33
1636477,14125,41
1636477,14134,5
1636477,16087,34
1636477,16221,24
1636477,16285,17
1636477,16287,19
1636477,16293,25
1636477,16294,26
1636477,16295,27
1636477,16303,42
1636477,16309,30
1636477,17701,20
1636477,18066,14
1636477,18070,6
1636477,18072,21
1636477,18078,13
1636477,18082,29
1636477,19719,32
1636477,19725,9
1636477,19728,2
1636477,21717,11
1636477,21718,15
1636477,21720,36
1636477,21722,39
1636477,21724,10
1636477,21727,28
1636477,21728,1
1636477,22918,40
1636477,23203,7
1636477,23206,16
1636477,23207,18
1636477,23211,23
1636477,23218,35
1636477,23221,37
1636477,23222,38
1636477,23225,8
1636477,23227,12
1636478,14134,1
1636479,14134,1
1636479,18079,2
1636479,19728,3
1636480,14134,1
1636480,18079,2
1636481,21724,1
1636482,21724,1
1636483,16309,1
1636484,1504,1
1636484,1561,8
1636484,18065,3
1636484,18077,4
1636484,22932,2
1636484,23128,10
1636484,23155,6
1636484,23210,5
1636484,23228,7
1636484,23231,9
1636485,1504,1
1636485,16288,2
1636486,1507,4
1636486,14109,7
1636486,16288,2
1636486,16299,12
1636486,18064,11
1636486,18077,5
1636486,19487,3
1636486,19659,8
1636486,19726,1
1636486,21374,6
1636486,23099,10
1636486,23219,13
1636486,23224,15
1636486,23228,9
1636486,23230,14
1636487,1556,1
1636487,1561,17
1636487,14118,14
1636487,16288,3
1636487,16294,8
1636487,18068,19
1636487,18073,4
1636487,18075,7
1636487,18079,2
1636487,19719,13
1636487,19733,15
1636487,21374,6
1636487,21727,11
1636487,23099,10
1636487,23155,9
1636487,23217,12
1636487,23219,16
1636487,23224,20
1636487,23227,5
1636487,23231,18
1636488,1551,6
1636488,16293,5
1636488,16309,1
1636488,19728,7
1636488,23206,2
1636488,23207,3
1636488,23211,4
1636489,23227,1
1636490,1556,3
1636490,1561,2
1636490,23227,1
1636491,18068,5
1636491,18082,4
1636491,21725,1
1636491,23226,3
1636491,23231,2
1636492,10959,1
1636493,19728,1
1636494,14107,28
1636494,14109,34
1636494,14112,40
1636494,14117,32
1636494,14118,49
1636494,14120,50
1636494,14122,59
1636494,14123,63
1636494,16087,53
1636494,16287,23
1636494,16288,24
1636494,16291,30
1636494,16293,36
1636494,16294,37
1636494,16295,41
1636494,16299,55
1636494,16303,70
1636494,16309,1
1636494,18064,51
1636494,18066,15
1636494,18069,20
