bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
737393,475675,2015-09-02,Assembly,"AB 728 HADLEY  Concurrence in Senate Amendments",80,0,0,0,80
737394,432602,2015-04-15,Assembly,"Do pass and be re-referred to the Committee on Local Government",6,1,0,0,7
737394,440895,2015-04-29,Assembly,"Do pass and be re-referred to the Committee on Appropriations",7,2,0,0,9
737394,452886,2015-05-27,Assembly,"Do pass",12,4,0,1,17
737394,457247,2015-06-04,Assembly,"AB 744 CHAU  Assembly Third Reading",52,24,0,4,80
737394,465435,2015-07-07,Senate,"Do pass, but re-refer to the Committee on Governance and Finance",7,4,0,0,11
737394,466195,2015-07-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",4,2,1,0,7
737394,475290,2015-08-31,Senate,"Assembly 3rd Reading AB744 Chau By Wieckowski",22,15,3,0,40
737394,475582,2015-09-02,Assembly,"AB 744 CHAU  Concurrence in Senate Amendments",54,25,0,1,80
737395,441056,2015-04-28,Assembly,"From committee:  Be adopted.  To third reading",9,0,0,0,9
737395,450218,2015-05-22,Assembly,"AJR7 MATHIS  Assembly Third Reading",75,0,0,5,80
737395,462183,2015-06-23,Senate,"Be adopted",5,0,0,0,5
737395,465139,2015-07-06,Senate,"Special Consent #4 AJR7 Mathis",39,0,1,0,40
737397,436256,2015-04-21,Senate,"Do pass as amended",4,1,0,0,5
737397,444467,2015-05-07,Senate,"Senate 3rd Reading SB415 Hueso",24,13,2,0,39
737397,464753,2015-07-01,Assembly,"Do pass",4,1,0,2,7
737397,466583,2015-07-16,Assembly,"SB 415 Hueso  Senate Third Reading  By ALEJO",45,30,0,5,80
737397,473835,2015-08-17,Senate,"Unfinished Business SB415 Hueso Concurrence",26,12,2,0,40
737401,443754,2015-05-04,Assembly,"Do pass",12,0,0,0,12
737401,447937,2015-05-18,Assembly,"AB 792 CHIU  Assembly Third Reading",77,0,0,3,80
737401,460657,2015-06-17,Senate,"Do pass and be placed on the Consent Calendar",7,0,0,0,7
737401,461922,2015-06-22,Senate,"Consent Calendar 2nd AB792 Chiu",37,0,3,0,40
737405,446404,2015-05-13,Assembly,"Do pass, to Consent Calendar",9,0,0,0,9
737405,450281,2015-05-22,Assembly,"AB 783 DALY  Consent Calendar Second Day  Regular Session",74,0,0,6,80
737405,466417,2015-07-15,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",5,1,1,0,7
737407,445182,2015-05-11,Senate,"Senate 3rd Reading SB408 Morrell",36,0,3,0,39
737407,446665,2015-04-06,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,0,0,0,9
737407,462114,2015-06-23,Assembly,"Do pass and be re-referred to the Committee on Appropriations",14,0,0,0,14
737407,466221,2015-07-15,Assembly,"Do pass, to Consent Calendar",16,0,0,1,17
737407,473983,2015-08-20,Assembly,"SB 408 Morrell  Consent Calendar Second Day  Regular Session",79,0,0,1,80
737408,432557,2015-04-14,Senate,"Do pass, but re-refer to the Committee on Appropriations",11,0,0,0,11
737408,463596,2015-04-27,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737411,442842,2015-05-04,Senate,"Do pass and be placed on the Consent Calendar",8,0,1,0,9
737411,445162,2015-05-11,Senate,"Consent Calendar 2nd SB412 De Le",36,0,3,0,39
737411,552452,2016-06-13,Assembly,"Be referred to Committee on Education",11,0,0,0,11
737411,554669,2016-06-21,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",13,0,0,0,13
737411,559264,2016-08-11,Assembly,"Do pass as amended",20,0,0,0,20
737411,560362,2016-08-19,Assembly,"SB 412 Glazer  Senate Third Reading  Amendment  Set #1",73,0,0,7,80
737411,560745,2016-08-23,Assembly,"SB 412 Glazer  Senate Third Reading  By GONZALEZ",78,0,0,2,80
737411,561338,2016-08-26,Senate,"From committee:  That the Assembly Amendments be concurred in",9,0,0,0,9
737411,561580,2016-08-30,Senate,"Unfinished Business SB412 Glazer Concurrence",39,0,0,0,39
737412,428913,2015-04-08,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",7,1,0,0,8
737412,442898,2015-05-04,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737413,448405,2015-05-18,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
737415,432544,2015-04-13,Assembly,"Do pass as amended and be re-referred to the Committee on Water, 	Parks and Wildlife",8,1,0,0,9
737415,440310,2015-04-28,Assembly,"Do pass and be re-referred to the Committee on Appropriations",13,2,0,0,15
737415,453697,2015-05-28,Assembly,"Do pass as amended",13,0,0,4,17
737415,457332,2015-06-04,Assembly,"AB 761 LEVINE  Assembly Third Reading",67,11,0,2,80
737415,464272,2015-06-30,Senate,"Do pass, but re-refer to the Committee on Environmental Quality",3,0,2,0,5
737415,466218,2015-07-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
737415,473727,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737416,432814,2015-04-14,Assembly,"Do pass and be re-referred to the Committee on Appropriations to 	Consent Calendar",7,0,0,0,7
737416,453632,2015-05-28,Assembly,"Do pass",17,0,0,0,17
737416,455304,2015-06-01,Assembly,"AB 702 MAIENSCHEIN  Assembly Third Reading",80,0,0,0,80
737416,462093,2015-06-23,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,0,0,0,5
737416,465151,2015-07-06,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737419,438492,2015-04-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,1,0,0,7
737419,454491,2015-05-28,Assembly,"Do pass",17,0,0,0,17
737419,455279,2015-06-01,Assembly,"AB 795 LOW  Assembly Third Reading",79,1,0,0,80
737419,476100,2015-09-09,Senate,"Assembly 3rd Reading AB795 Atkins By Hall",40,0,0,0,40
737419,476245,2015-09-10,Assembly,"AB 795 ATKINS  Concurrence- Urgency Added",80,0,0,0,80
737420,437097,2015-04-21,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",7,0,0,0,7
737420,447736,2015-05-18,Senate,"Senate 3rd Reading SB453 Pan",36,0,3,0,39
737420,460299,2015-06-16,Assembly,"Amend, and do pass as amended and be re-referred to the Committee 	on Business and Professions with the recommendation:  To Consent 	Calendar",7,0,0,0,7
737420,465522,2015-07-07,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",14,0,0,0,14
737420,466266,2015-07-15,Assembly,"Do pass, to Consent Calendar",16,0,0,1,17
737420,473943,2015-08-20,Assembly,"SB 453 Pan  Consent Calendar Second Day  Regular Session",79,0,0,1,80
737420,474276,2015-08-27,Senate,"Special Consent #7 SB453 Pan",40,0,0,0,40
737423,437350,2015-04-22,Senate,"Do pass, but re-refer to the Committee on Appropriations",6,0,1,0,7
737423,452316,2015-05-26,Senate,"Senate 3rd Reading SB433 Berryhill",38,0,1,0,39
737424,443432,2015-05-05,Senate,"Do pass and be placed on the Consent Calendar",9,0,2,0,11
737424,445178,2015-05-11,Senate,"Consent Calendar 2nd SB404 De Le",36,0,3,0,39
737424,463999,2015-06-29,Assembly,"Do pass, to Consent Calendar",16,0,0,0,16
737424,559825,2016-08-15,Assembly,"SB 404 De Leon  Third Reading Urgency  By GATTO",78,0,0,2,80
737424,560006,2016-08-16,Senate,"Unfinished Business (S upplemental File 1)SB4 04 De Le",38,0,1,0,39
737425,437309,2015-04-21,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,2,0,0,7
737425,442878,2015-05-04,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737425,453653,2015-05-28,Senate,"Do pass as amended",5,1,1,0,7
737425,456632,2015-06-03,Senate,"Senate 3rd Reading SB443 Mitchell",38,1,1,0,40
737425,466103,2015-07-14,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",7,0,0,0,7
737425,474345,2015-08-27,Assembly,"Do pass as amended",10,2,0,5,17
737425,476266,2015-09-10,Assembly,"SB 443 Mitchell  Senate Third Reading  By HADLEY",24,44,0,12,80
737425,559839,2016-08-15,Assembly,"SB 443 Mitchell  Senate Third Reading  By HADLEY",69,7,0,4,80
737425,560928,2016-08-24,Senate,"Unfinished Business SB443 Mitchell Concurrence",39,0,0,0,39
737428,427841,2015-04-07,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",14,0,0,0,14
737428,437411,2015-04-22,Assembly,"Do pass, to Consent Calendar",17,0,0,0,17
737428,442270,2015-04-30,Assembly,"AB 685 IRWIN  Consent Calendar Second Day  Regular Session",77,0,0,3,80
737428,555558,2016-06-27,Senate,"Do pass, but re-refer to the Committee on Appropriations Recommend 	Consent",9,0,0,0,9
737428,559319,2016-08-11,Senate,"Consent Calendar 2nd AB685 Irwin",37,0,2,0,39
737428,559798,2016-08-15,Assembly,"AB 685 IRWIN  Concurrence in Senate Amendments",77,0,0,3,80
737429,431578,2015-04-13,Assembly,"Do pass as amended and be re-referred to the Committee on 	Accountability and Administrative Review",6,3,0,0,9
737429,441299,2015-04-29,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,3,0,0,9
737429,453627,2015-05-28,Assembly,"Do pass as amended",12,5,0,0,17
737429,457330,2015-06-04,Assembly,"AB 692 QUIRK  Assembly Third Reading",52,27,0,1,80
737429,464366,2015-06-30,Senate,"Do pass, but re-refer to the Committee on Environmental Quality",8,2,1,0,11
737429,466420,2015-07-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,2,0,0,7
737429,473721,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737429,474603,2015-08-27,Senate,"Do pass as amended",5,2,0,0,7
